Price,Name,CPU,RAM,Hard Disk,GPU,Screen,Warranty,Stock,Status
None,Dell Gaming G15 5530 2023,Core i7-13650HX,16GB,1TB,RTX 4060 8GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 Y7000P 2023,Core i7-13700H,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus ROG Strix G16 2023,Core i7-13650HX,16GB,1TB,RTX 4070 8GB,"16"" QHD+ 240Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus ROG Strix G16 2023,Core i7-13650HX,16GB,512GB,RTX 4060 8GB,"16"" QHD+ 240Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus ROG Strix G16 2023,Core i7-13650HX,16GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus ROG Strix G16 2023,Core i5-13450HX,8GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus ROG Strix G16 2023,Core i5-13450HX,16GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Gaming Predator Helios 300 2022 PH315-55-76KG,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3,Ryzen 5-5600H,8GB,256GB,RTX 3050Ti,"15.6"" FHD IPS 120Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Acer Nitro 16 2023,Core i5-13500H,16GB,512GB,RTX 4050 6GB,"16"" FHD+ IPS 165Hz",12 tháng LaptopAZ,Liên hệ,Like New
None,Lenovo Legion 5 15ACH6H,Ryzen 5-5600H,8GB,512GB,RTX 3060,15.6'' FHD 120Hz,12 tháng LaptopAZ,Còn hàng,New 100%
25.890.000,Asus TUF F15 FX507ZM-BS74,Core i7-12700H,16GB,1TB,RTX 3060 6GB,15.6” FHD 144Hz IPS,12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Nitro 5 AN515-46-R32U,Ryzen 7 - 6800H,16GB,512GB,RTX 3060,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Nitro 5 2022 AN515-58,Core i5 - 12450H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Gaming Predator Helios 300 2022 PH315-55-70ZV,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Like New
None,Lenovo Legion R7000P 2022,Ryzen 7-6800H,16GB,512GB,RTX 3050Ti 4GB,15.6'' WQHD 165Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Gaming Predator Helios 300 2022,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' QHD 165Hz,12 tháng LaptopAZ,Liên hệ,Like New
None,MSI Vector GP76 12UE-270US,Core i7-12700H,16GB,1TB,RTX 3060,"17.3"" FHD 360Hz",12 tháng tại LaptopAZ,Liên hệ,New 100%
None,Lenovo Ideapad Gaming 3,Ryzen 5-5600H,8GB,256GB,RTX 3050Ti,"15.6"" FHD IPS 120Hz",12 tháng Laptop AZ,Liên hệ,New Outlet
None,Lenovo Legion Slim 7 16IAH7,Core i7-12700H,16GB,512GB,RTX 3050Ti,16'' 2K+ IPS 165Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Dell Gaming G15 5520 2022,Core i5-12500H,8GB,256GB,RTX 3050 4GB,"15.6"" FHD 120Hz",12 tháng LaptopAZ,Liên hệ,Like New
None,Lenovo Legion 5 Pro 2022 16IAH7H,Core i5-12500H,16GB,512GB,RTX 3050Ti 4GB,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 99%
None,Laptop Gaming Acer Nitro 5 2021 AN515-57-79TD,Core i7 - 11800H,8GB,512GB,RTX3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 99%
None,Lenovo Legion 5 Pro Y9000,Core i7 - 11800H,16GB,512GB,RTX 3050,"16"" QHD 165Hz",12 tháng LaptopAZ,Liên hệ,Like New
None,Lenovo Legion 5 Pro Y9000P,Core i9-12900H,16GB,512GB,RTX 3060 6GB,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Like New
None,Asus ROG Zephyrus G15 GA503RM 2022,Ryzen 9-6900HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 165Hz,12 tháng tại LaptopAZ,Liên hệ,Like New
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i7 - 12700H,16GB,512GB,RTX 3070 8GB,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 Pro Y9000,Core i7 - 11800H,16GB,512GB,RTX 3050Ti,"16"" QHD 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion Pro 5 Y9000P 2023,Core i5-13500HX,16GB,1TB,RTX 4050 6GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 Pro R9000P,Ryzen 7 - 5800H,16GB,512GB,RTX 3050Ti 4GB,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Laptop HP VICTUS 16-e1107AX 7C140PA,Ryzen 5- 6600H,8GB,512GB,RTX 3050,16.1 FHD IPS 144Hz,12 tháng HP Việt Nam,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 2023,Ryzen 7-7735HS,16GB,512GB,RTX 4050 6GB,"15.6"" FHD 120Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i7 - 12700H,16GB,512GB SSD + 1TB HDD,RTX 3070Ti 8GB,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Gaming HP Victus 16,Core i5 11400H,8GB,256GB,RTX 3050 4GB,16.1 FHD IPS,12 tháng LaptopAZ,Liên hệ,Mới 99%
None,Lenovo Legion 5 2022 15ARH7H,Ryzen 7-6800H,16GB,2TB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng Laptop AZ,Liên hệ,New 100%
None,Acer Nitro 5 2021 AN515,Ryzen 5 - 5600H,8GB,512GB,RTX 3060 6GB,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Liên hệ,New Outlet
None,Acer Nitro 5 Tiger 2022 AN515-58-52SP,Core i5 - 12500H,8GB,512GB,RTX 3050,"15.6"" FHD IPS 144Hz",12 tháng Laptop AZ,Liên hệ,Mới 99%
None,Laptop Gaming HP Victus 2022 15-fa0025nr,Core i5-12500H,RAM 8GB,SSD 512GB,RTX 3050,"15.6"" FHD 60Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,8GB,512GB,RTX 3070,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,8GB,512GB,RTX 3070Ti,"15.6"" FHD IPS 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Asus TUF Gaming A15 FA506IHR-HN019W,Ryzen 5-4600H,8GB,512GB,GTX 1650,15.6″ FHD IPS 144Hz,24 Tháng Asus Việt Nam,Liên hệ,Mới 99%
None,Acer Gaming Predator Helios 300 2022 PH315-55-5736,Core i5-12500H,8GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 Pro 16ITH6,Core i7 - 11800H,32GB,1TB+1TB,RTX 3070,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Dell Gaming G15 5530,Core i5-13450HX,8GB,256GB,NVIDIA RTX 4050 6GB,15'' FHD 120Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 16ITH6,Core i7 - 11800H,16GB,512GB,RTX 3050,"16"" 2.5K 165Hz",12 tháng LaptopAZ,Liên hệ,New Outlet
None,Lenovo Legion 5 2022 15ARH7H,Ryzen 7-6800H,16GB,1TB,RTX 3070Ti,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Laptop Gaming HP Victus 16-e1107AX 7C140PA 2022,Ryzen 5- 6600H,16GB,512GB,RTX 3050,16.1 FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Gaming Predator Helios 300,Core i7-11800H,16GB,512GB,RTX 3060,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 99%
None,Laptop Gaming HP Victus 16-e1107AX 7C140PA 2022,Ryzen 5-6600H,8GB,512GB,RTX 3050,16.1 FHD IPS 144Hz,12 tháng HP Việt Nam,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022 15IAH7H,Core i7-12700H,16GB,2TB,RTX 3070Ti 8GB,"15.6"" FHD IPS 165Hz",12 tháng Laptop AZ,Liên hệ,New 100%
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,8GB,512GB,RTX 3060,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Nitro 5 Tiger 2022 AN515-58-74B7,Core i7 - 12700H,8GB,512GB,RTX 3060,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Asus ROG Strix G15 G513,Ryzen 7-4800H,8GB,512GB,GTX 1650,15.6'' FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Like New
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,8GB,512GB,RTX 3060,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Gaming Acer Nitro 5 2021 AN515-57-919C,Core i9 - 11900H,16GB,512GB,RTX3060,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Asus Tuf F15 TUF506HM-BS74,Core i7-11800H,16GB,512GB,RTX 3060,15.6″ FHD 144Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Asus TUF A15 FA507RE-A15.R73050T 2022,Ryzen 7-6800H,8GB,512GB,RTX 3050 Ti 4GB,15.6” FHD 144Hz IPS,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Gaming HP Victus 2022 15-fa0031dx,Core i7-12650H,RAM 16GB,SSD 512GB,RTX 3050 Ti,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Nitro 5 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Gigabyte G5 ME-51VN263SH,Core i5-12500H,8GB,512GB,RTX 3050Ti,15.6 inch FHD 144Hz,24 tháng Gigabyte Việt Nam,Liên hệ,New 100%
None,Lenovo Legion 5 Pro 2022 16IAH7H,Core i7-12700H,16GB,1TB,RTX 3070Ti,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Nitro 5 2021 AN515-45-56XD,Ryzen 5 - 5600H,8GB,512GB,RTX 3060,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,ASUS TUF Gaming F15 FX506HC,Core i5-11400H,8GB,512GB,RTX 3050,15.6″ FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Nitro 5 2021 AN517-54,Core i7 - 11800H,16GB,1TB,RTX3050Ti,17.3'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 15ACH6,Ryzen 5- 5600H,8GB,512GB,NVIDIA RTX 3050,15.6'' FHD 120Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Acer Nitro 5 2021 AN517-54-79L1,Core i7 - 11800H,16GB,1TB,RTX3050Ti,17.3'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,New Outlet
None,Acer Nitro 5 2022 AN517-55,Core i5 - 12500H,8GB,512GB,RTX 3050,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 15IHU6,Core i5-11320H,8GB,512GB,RTX 3050,"15.6"" FHD IPS",24 tháng Lenovo Việt Nam,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 16ACH6H,Ryzen 7 - 5800H,16GB,512GB,RTX 3070,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 2022 16IAH7H,Core i7-12700H,16GB,1TB,RTX 3070,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 2022 16ARH7H,Ryzen 7-6800H,16GB,1TB,RTX 3070Ti,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 15IHU6,Core i5-11300H,8GB,256GB,RTX 3050,"15.6"" FHD IPS",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion Y7000P 2022 IAH7,Core i5-12500H,16GB,512GB,RTX 3050,"15.6"" WQHD 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,ASUS ROG Zephyrus M16 GU603,Core i9-11900H,16GB,1TB,RTX 3060,"16"" WQXGA 165Hz",h: 12 th√°ng t·∫°i LaptopAZ,Li√™n h·ªá,M·ªõi 100%
None,ASUS ROG Strix SCAR 15 G533QM,Ryzen 9-5900HX,32GB,1TB,RTX 3080,15.6'' FHD 300Hz,12 tháng tại LaptopAZ,Liên hệ,Mới 100%
None,ASUS ROG Strix SCAR 15 G533QM,Ryzen 9-5900HX,16GB,1TB,RTX 3080,15.6'' FHD 300Hz,12 tháng tại LaptopAZ,Liên hệ,Mới 100%
None,ASUS ROG Strix SCAR 15 G533QS-DS76,Ryzen 7-5800H,16GB,1TB,RTX 3080,"15.6"" FHD 300Hz",h: 12 th√°ng t·∫°i LaptopAZ,Li√™n h·ªá,M·ªõi 100%
None,Asus ROG Strix G15 G513QR-ES96,Ryzen 9-5900HX,16GB,1TB,RTX 3070,"15.6"" FHD 300Hz",h: 12 th√°ng t·∫°i LaptopAZ,Li√™n h·ªá,New 100%
None,Asus ROG Strix G15 G513QE-WH96,Ryzen 9-5900HX,16GB,1TB,RTX 3050Ti,15.6'' FHD 144Hz,12 tháng tại LaptopAZ,Liên hệ,New 100%
None,Acer Predator Triton 300 SE,Core i7-11375H,16GB,512GB,RTX 3050Ti,"14"" FHD 144Hz",12 tháng tại LaptopAZ,Liên hệ,New Outlet
None,Dell Alienware M15 R7 2022,Core i7-12700H,16GB,512GB,RTX 3070Ti,"15.6"" QHD IPS 240Hz",12 tháng tại LaptopAZ,Liên hệ,Mới 100%
None,Acer Gaming Predator Helios 300,Core i7-11800H,16GB,512GB,RTX 3060,15.6'' FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Predator Triton 500 SE,Core i7-11800H,16GB,512GB,RTX 3060,"16"" WQXGA 165Hz",12 tháng tại LaptopAZ,Liên hệ,New Outlet
None,Asus ROG Strix G15 G513,Ryzen 7-5800H,16GB,1TB,RTX 3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 15ACH6 82K2008WVN,Ryzen 5-5600H,8GB,512GB,RTX 3050,"15.6"" FHD IPS 120Hz",24 tháng tại Lenovo Việt Nam,Còn hàng,Mới 100%
None,Asus TUF Dash F15 2022,Core i7-12650H,16GB,512GB,RTX 3060,15.6″ FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,MSI GE76 Raider,Core i7-11800H,16GB,1TB,RTX 3060,"17.3"" FHD 144Hz",12 tháng tại LaptopAZ,Liên hệ,New 100%
None,MSI Pulse GL66 11UCK-234US,Core i5-11400H,8GB,512GB,RTX 3050,"15.6"" FHD IPS",12 tháng tại LaptopAZ,Liên hệ,New 100%
None,MSI Pulse GL66 11UGK-001,Core i7-11800H,16GB,512GB,RTX 3070,"15.6"" FHD 144Hz",12 tháng tại LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 2022 16ARH7H,Ryzen 7-6800H,16GB,512GB,RTX 3060,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion R9000X,Ryzen 7 - 5800H,16GB,512GB,RTX 3060,15.6'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022 15ARH7 82RE0035VN,Ryzen 7-6800H,8GB,512GB,RTX 3050Ti,"15.6"" FHD 165Hz",h: 36 th√°ng Lenovo Vi·ªát Nam,Li√™n h·ªá,New 100%
